Time,precipitation
Jan 1, 2021,6.427
Jan 2, 2021,0
Jan 3, 2021,6.427
Jan 4, 2021,9.64
Jan 5, 2021,3.213
Jan 6, 2021,5.053
Jan 7, 2021,0
Jan 8, 2021,5.053
Jan 9, 2021,0
Jan 10, 2021,10.106
Jan 11, 2021,8.29
Jan 12, 2021,0
Jan 13, 2021,0
Jan 14, 2021,18.949
Jan 15, 2021,9.474
Jan 16, 2021,7.468
Jan 17, 2021,0
Jan 18, 2021,29.871
Jan 19, 2021,0
Jan 20, 2021,0
Jan 21, 2021,0
Jan 22, 2021,0
Jan 23, 2021,9.367
Jan 24, 2021,0
Jan 25, 2021,9.367
Jan 26, 2021,15.883
Jan 27, 2021,15.883
Jan 28, 2021,42.355
Jan 29, 2021,7.942
Jan 30, 2021,0
Jan 31, 2021,0
